valbench/ExplicitLoggingPoint MethodSignature(explicitLoggingPoint,MethodDescriptor((java.lang.Object): void))
valbench/basictests/BasicStringTests MethodSignature(testSimpleString,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testQuery2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/IOCommonsTests MethodSignature(test2,MethodDescriptor((): java.lang.String))
valbench/basictests/EnumTests MethodSignature(testSimpleEnum4,MethodDescriptor((): java.lang.String))
valbench/modellingtests/CollectionTests MethodSignature(simpleBreakListTest3,MethodDescriptor((): java.lang.String))
valbench/basictests/ArithmeticTests MethodSignature(testAdd,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StreamTests MethodSignature(testStringWriter2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/MiscTests MethodSignature(testHex,MethodDescriptor((): java.lang.String))
valbench/basictests/ArithmeticTests MethodSignature(testShiftRight2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ComplexArrayTests MethodSignature(test,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(test3,MethodDescriptor((): java.lang.String))
valbench/modellingtests/LoopTests MethodSignature(formatTest3,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StreamTests MethodSignature(testPrintWriter3,MethodDescriptor((): java.lang.String))
valbench/crypto/Whirlpool MethodSignature(testWhirlpool,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StringUtilsTests MethodSignature(testFooE,MethodDescriptor((): java.lang.String))
valbench/crypto/Murmur3 MethodSignature(testMurmurX86,MethodDescriptor((): java.lang.String))
valbench/modellingtests/MapTests MethodSignature(testMaps2,MethodDescriptor((): java.lang.String))
valbench/basictests/TestBitwise MethodSignature(testShr,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StreamTests MethodSignature(testCharArrayReader,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StringUtilsTests MethodSignature(testFooB,MethodDescriptor((): java.lang.String))
valbench/basictests/FieldTests MethodSignature(testStaticFields,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testNotHierachical,MethodDescriptor((): java.lang.String))
valbench/modellingtests/MapTests MethodSignature(testMaps4,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ClassTests MethodSignature(testClassesGetClass3,MethodDescriptor((): java.lang.String))
valbench/modellingtests/CollectionTests MethodSignature(simpleIterableTest,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ByteBufferTests MethodSignature(testSlice2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/InstanceOfTests MethodSignature(testInstanceOf11,MethodDescriptor((): java.lang.String))
valbench/basictests/IfTests MethodSignature(testEquals,MethodDescriptor((): java.lang.String))
valbench/basictests/BasicStringTests MethodSignature(testInt,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ArrayCopyOfTests MethodSignature(testCopyOf2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/EnumSetTests MethodSignature(test2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StringUtilsTests MethodSignature(testChop,MethodDescriptor((): java.lang.String))
valbench/modellingtests/FileTests MethodSignature(testParent2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ReflectionTests MethodSignature(testReflection,MethodDescriptor((): java.lang.String))
valbench/basictests/BasicStringTests MethodSignature(testChar,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testPathSegmentDecoding1,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testQuery3,MethodDescriptor((): java.lang.String))
valbench/basictests/ArithmeticTests MethodSignature(testSub,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testBuildUponEncodedOpaqueUri2,MethodDescriptor((): java.lang.String))
valbench/basictests/SwitchTests MethodSignature(testFallthrough3,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StreamTests MethodSignature(testOutputStream,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ThreadTests MethodSignature(testThread,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ArrayCopyOfTests MethodSignature(testCopyOf3,MethodDescriptor((): java.lang.String))
valbench/basictests/FieldDepthTests MethodSignature(testFoo,MethodDescriptor((): java.lang.String))
valbench/modellingtests/MathTests MethodSignature(testSimpleMathDouble,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ApacheHex MethodSignature(testApacheHex,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StreamTests MethodSignature(testBufferedReader,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StreamTests MethodSignature(testBufferedOutputStreamSimple,MethodDescriptor((): java.lang.String))
valbench/modellingtests/LoopTests MethodSignature(simpleMethodInvocation,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StreamTests MethodSignature(testPrintStream2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testSMS3,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StringUtilsTests MethodSignature(testmath2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/SimpleStringTests MethodSignature(callees,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(test4,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ReflectionTests MethodSignature(testReflectionInReflectionLoop,MethodDescriptor((): java.lang.String))
valbench/basictests/SwitchTests MethodSignature(testFallthrough2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/CollectionTests MethodSignature(simplestListTest,MethodDescriptor((): int))
valbench/modellingtests/ReflectionTests MethodSignature(testVoidCall,MethodDescriptor((): java.lang.String))
valbench/basictests/AnnotationTests MethodSignature(testSimpleAnnotation,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ReflectionTests MethodSignature(testReflectionConstructorArgs3,MethodDescriptor((): java.lang.String))
valbench/modellingtests/InstanceOfTests MethodSignature(testInstanceOf2,MethodDescriptor((): java.lang.String))
valbench/basictests/FieldTests MethodSignature(testImmutableInLoop,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ApacheHex MethodSignature(testApacheHexDecode2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ClassTests MethodSignature(testClassesGetClass6,MethodDescriptor((): java.lang.String))
valbench/modellingtests/MiscTests MethodSignature(testURLs,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ReflectionTests MethodSignature(testReflectionStaticFieldAccessGetSet,MethodDescriptor((): java.lang.String))
valbench/modellingtests/IOCommonsTests MethodSignature(test7,MethodDescriptor((): java.lang.String))
valbench/basictests/ArrayTests MethodSignature(test1,MethodDescriptor((): java.lang.String))
valbench/modellingtests/AdvancedStringTests MethodSignature(testSimpleString5,MethodDescriptor((): java.lang.String))
valbench/basictests/CharacterTests MethodSignature(testSimpleStringCharArray,MethodDescriptor((): java.lang.String))
valbench/modellingtests/EnumSetTests MethodSignature(test5,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ReflectionTests MethodSignature(testReflectionFieldAccessSet,MethodDescriptor((): java.lang.String))
valbench/basictests/AnnotationTests MethodSignature(testSimpleAnnotationEnum2,MethodDescriptor((): java.lang.String))
valbench/basictests/FieldTests MethodSignature(testLoopCopy,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ClassTests MethodSignature(testClasses4,MethodDescriptor((): java.lang.String))
valbench/modellingtests/InstanceOfTests MethodSignature(testInstanceOf1,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testAuthority2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/PatternTest MethodSignature(testPattern,MethodDescriptor((): java.lang.String))
valbench/modellingtests/IOCommonsTests MethodSignature(test4,MethodDescriptor((): java.lang.String))
valbench/basictests/ArrayTests MethodSignature(testArrayCopy,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StringTests MethodSignature(testValueOf2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testFile,MethodDescriptor((): java.lang.String))
valbench/modellingtests/LoopTests MethodSignature(skippedLoopSwitch,MethodDescriptor((): java.lang.String))
valbench/basictests/EnumTests MethodSignature(testSimpleEnumField2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/InstanceOfTests MethodSignature(testInstanceOf7,MethodDescriptor((): java.lang.String))
valbench/basictests/AnnotationTests MethodSignature(testSimpleAnnotationArray2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/EnumSetTests MethodSignature(test1,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testSMS2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ClassTests MethodSignature(testPackages2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/SimpleStringTests MethodSignature(callees2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StreamTests MethodSignature(testPrintWriter2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidIntentTests MethodSignature(testIntentCompositeValue,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testHC2,MethodDescriptor((): java.lang.String))
valbench/basictests/TestBitwise MethodSignature(testRem,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testSMS1,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ReflectionTests MethodSignature(testT,MethodDescriptor((): java.lang.String))
valbench/basictests/PolymorphicTests MethodSignature(testDefaultMethod,MethodDescriptor((): java.lang.String))
valbench/modellingtests/EnumSetTests MethodSignature(test4,MethodDescriptor((): java.lang.String))
valbench/modellingtests/CollectionTests MethodSignature(listTest2,MethodDescriptor((): java.lang.String))
valbench/basictests/IfTests MethodSignature(testPathSensitivity,MethodDescriptor((): java.lang.String))
valbench/basictests/TestBitwise MethodSignature(testBitwiseXor,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ByteBufferTests MethodSignature(testSimple,MethodDescriptor((): java.lang.String))
valbench/basictests/ArithmeticTests MethodSignature(testOr,MethodDescriptor((): java.lang.String))
valbench/basictests/CompositeTests MethodSignature(composite1,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StreamTests MethodSignature(testInputStream5,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(test,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ApacheHex MethodSignature(testApacheHexDecodeS,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StringTests MethodSignature(test,MethodDescriptor((): java.lang.String))
valbench/basictests/FieldTests MethodSignature(testOverwrite,MethodDescriptor((): java.lang.String))
valbench/basictests/MultiArrayTests MethodSignature(testSimple2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StringTests MethodSignature(stringTest,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testQuery5,MethodDescriptor((): java.lang.String))
valbench/modellingtests/HashCodeEqualsTests MethodSignature(testHashCode,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ReflectionArrayTests MethodSignature(testReflectionArray,MethodDescriptor((): java.lang.String))
valbench/basictests/ArrayTests MethodSignature(testArraySensitivityWithNonConstantIndices,MethodDescriptor((): java.lang.String))
valbench/modellingtests/LoopTests MethodSignature(simpleLoopTestInstanceField,MethodDescriptor((): java.lang.String))
valbench/basictests/FieldTests MethodSignature(objectSensitivityTest,MethodDescriptor((): java.lang.String))
valbench/modellingtests/CollectionTests MethodSignature(ownImpl,MethodDescriptor((): java.lang.String))
valbench/crypto/Murmur2 MethodSignature(testMurmur,MethodDescriptor((): java.lang.String))
valbench/modellingtests/DictionaryTests MethodSignature(test3,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ReflectionTests MethodSignature(testReflectionFieldAccessSetAll,MethodDescriptor((): java.lang.String))
valbench/modellingtests/MutableObjectsTests MethodSignature(test,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ClassTests MethodSignature(testClassesGetClass2,MethodDescriptor((): java.lang.String))
valbench/basictests/AnnotationTests MethodSignature(testSimpleAnnotationArray,MethodDescriptor((): java.lang.String))
valbench/basictests/FieldTests MethodSignature(complicatedFieldTest2,MethodDescriptor((): java.lang.String))
valbench/basictests/AliasTests MethodSignature(testAlias1,MethodDescriptor((): java.lang.String))
valbench/modellingtests/PatternTest MethodSignature(testPattern2,MethodDescriptor((): java.lang.String))
valbench/crypto/AES MethodSignature(runAES,MethodDescriptor((): java.lang.String))
valbench/basictests/BasicStringTests MethodSignature(test,MethodDescriptor((): java.lang.String))
valbench/basictests/AnnotationTests MethodSignature(testSimpleAnnotation2,MethodDescriptor((): java.lang.String))
valbench/basictests/EnumTests MethodSignature(testSimpleEnumField,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ClassTests MethodSignature(testClasses5,MethodDescriptor((): java.lang.String))
valbench/basictests/MultiArrayTests MethodSignature(testEmpty,MethodDescriptor((): java.lang.String))
valbench/modellingtests/FileTests MethodSignature(testIsAbsolute,MethodDescriptor((): java.lang.String))
valbench/modellingtests/IOCommonsTests MethodSignature(test5,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testHierachical,MethodDescriptor((): java.lang.String))
valbench/modellingtests/ClassTests MethodSignature(testClasses2,MethodDescriptor((): java.lang.String))
valbench/basictests/PolymorphicTests MethodSignature(testSimple,MethodDescriptor((): java.lang.String))
valbench/basictests/EnumTests MethodSignature(testSimpleEnum3,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StringTests MethodSignature(testValueOf1,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(testScheme1,MethodDescriptor((): java.lang.String))
valbench/basictests/PolymorphicTests MethodSignature(test2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/android/AndroidURITests MethodSignature(test5,MethodDescriptor((): java.lang.String))
valbench/basictests/PolymorphicTests MethodSignature(test6,MethodDescriptor((): java.lang.String))
valbench/basictests/SwitchTests MethodSignature(testLoopFallthrough2,MethodDescriptor((): java.lang.String))
valbench/modellingtests/StringUtilsTests MethodSignature(testReplace,MethodDescriptor((): java.lang.String))
